    c_nation     |    s_nation     | d_year |  revenue
 VIETNAM         | JAPAN           |   1996 | 5019375007
 INDONESIA       | INDIA           |   1996 | 5002725147
 INDONESIA       | JAPAN           |   1996 | 4891057792
 VIETNAM         | INDONESIA       |   1996 | 4828498328
 INDIA           | INDONESIA       |   1996 | 4792173580
 JAPAN           | CHINA           |   1996 | 4774630625
 JAPAN           | INDIA           |   1996 | 4771406526
 JAPAN           | INDONESIA       |   1996 | 4731855773
 VIETNAM         | INDIA           |   1996 | 4683775320
 CHINA           | INDIA           |   1996 | 4675125110
 INDONESIA       | VIETNAM         |   1996 | 4584140578
 CHINA           | VIETNAM         |   1996 | 4510970783
 INDIA           | INDIA           |   1996 | 4494274449
 JAPAN           | JAPAN           |   1996 | 4477613865
 JAPAN           | VIETNAM         |   1996 | 4463016603
 INDIA           | JAPAN           |   1996 | 4405718707
 VIETNAM         | VIETNAM         |   1996 | 4345470991
 INDIA           | VIETNAM         |   1996 | 4249440737
 VIETNAM         | INDONESIA       |   1997 | 5296165935
 CHINA           | CHINA           |   1997 | 5281192823
 INDIA           | INDONESIA       |   1997 | 5106035936
 INDONESIA       | INDIA           |   1997 | 5092841332
 INDONESIA       | CHINA           |   1997 | 5064493616
 INDONESIA       | INDONESIA       |   1997 | 5058220686
 VIETNAM         | CHINA           |   1997 | 5045341097
 CHINA           | INDONESIA       |   1997 | 5014587769
 JAPAN           | CHINA           |   1997 | 4974902572
 INDONESIA       | JAPAN           |   1997 | 4950800221
 VIETNAM         | JAPAN           |   1997 | 4882762617
 CHINA           | JAPAN           |   1997 | 4847899449
 INDIA           | CHINA           |   1997 | 4803242885
 CHINA           | INDIA           |   1997 | 4772968038
 INDIA           | JAPAN           |   1997 | 4743797114
 JAPAN           | JAPAN           |   1997 | 4723167197
 INDIA           | INDIA           |   1997 | 4709872803
 JAPAN           | INDONESIA       |   1997 | 4629652203
 CHINA           | VIETNAM         |   1997 | 4611336247
 JAPAN           | INDIA           |   1997 | 4595803692
 VIETNAM         | INDIA           |   1997 | 4594342802
 JAPAN           | VIETNAM         |   1997 | 4514686234
 INDONESIA       | VIETNAM         |   1997 | 4448454538
 VIETNAM         | VIETNAM         |   1997 | 4246716178
 INDIA           | VIETNAM         |   1997 | 4054072637
