1997 | UNITED ST0 | MFGR#141 | 6752336
1997 | UNITED ST2 | MFGR#1411 | 14348964
1997 | UNITED ST2 | MFGR#1412 | 11008776
1997 | UNITED ST2 | MFGR#1413 | 5643102
1997 | UNITED ST2 | MFGR#1414 | 2250774
1997 | UNITED ST2 | MFGR#1415 | 6743501
1997 | UNITED ST2 | MFGR#1416 | 42248
1997 | UNITED ST2 | MFGR#1417 | 8225353
1997 | UNITED ST2 | MFGR#1418 | 7199574
1997 | UNITED ST2 | MFGR#1419 | 6350131
1997 | UNITED ST2 | MFGR#142 | 11374987
1997 | UNITED ST2 | MFGR#1420 | 7080947
1997 | UNITED ST2 | MFGR#1421 | 8838825
1997 | UNITED ST2 | MFGR#1422 | 4532399
1997 | UNITED ST2 | MFGR#1424 | 10822944
1997 | UNITED ST2 | MFGR#1425 | 3172075
1997 | UNITED ST2 | MFGR#1426 | 4415446
1997 | UNITED ST2 | MFGR#1427 | 6243489
1997 | UNITED ST2 | MFGR#1429 | 5789823
1997 | UNITED ST2 | MFGR#143 | 7700969
1997 | UNITED ST2 | MFGR#1430 | 4818828
1997 | UNITED ST2 | MFGR#1431 | 16415059
1997 | UNITED ST2 | MFGR#1432 | 4052902
1997 | UNITED ST2 | MFGR#1433 | 2918853
1997 | UNITED ST2 | MFGR#1434 | 10580336
1997 | UNITED ST2 | MFGR#1435 | 5491936
1997 | UNITED ST2 | MFGR#1436 | 13985517
1997 | UNITED ST2 | MFGR#1437 | 12304834
1997 | UNITED ST2 | MFGR#1438 | 4074629
1997 | UNITED ST2 | MFGR#1439 | 6142641
1997 | UNITED ST2 | MFGR#144 | 10333190
1997 | UNITED ST2 | MFGR#1440 | -80724
1997 | UNITED ST2 | MFGR#145 | 1597118
1997 | UNITED ST2 | MFGR#146 | 4856165
1997 | UNITED ST2 | MFGR#147 | 277732
1997 | UNITED ST2 | MFGR#148 | 14565649
1997 | UNITED ST2 | MFGR#149 | 17440247
1997 | UNITED ST3 | MFGR#141 | 2302258
1997 | UNITED ST3 | MFGR#1410 | 4845419
1997 | UNITED ST3 | MFGR#1411 | 7692640
1997 | UNITED ST3 | MFGR#1412 | 7091490
1997 | UNITED ST3 | MFGR#1413 | 7291637
1997 | UNITED ST3 | MFGR#1414 | 14412178
1997 | UNITED ST3 | MFGR#1415 | 8693570
1997 | UNITED ST3 | MFGR#1416 | 6566529
1997 | UNITED ST3 | MFGR#1417 | 12875058
1997 | UNITED ST3 | MFGR#1418 | 5377354
1997 | UNITED ST3 | MFGR#1419 | 5745183
1997 | UNITED ST3 | MFGR#142 | -56879
1997 | UNITED ST3 | MFGR#1420 | 7210888
1997 | UNITED ST3 | MFGR#1421 | 7902268
1997 | UNITED ST3 | MFGR#1422 | 28621629
1997 | UNITED ST3 | MFGR#1423 | -91044
1997 | UNITED ST3 | MFGR#1424 | 16225631
1997 | UNITED ST3 | MFGR#1425 | 11408180
1997 | UNITED ST3 | MFGR#1426 | 8099175
1997 | UNITED ST3 | MFGR#1427 | 13983398
1997 | UNITED ST3 | MFGR#1428 | 2102124
1997 | UNITED ST3 | MFGR#1429 | 6347176
1997 | UNITED ST3 | MFGR#143 | 3398016
1997 | UNITED ST3 | MFGR#1430 | 9882619
1997 | UNITED ST3 | MFGR#1431 | 18457872
1997 | UNITED ST3 | MFGR#1432 | 2804172
1997 | UNITED ST3 | MFGR#1433 | 2951207
1997 | UNITED ST3 | MFGR#1434 | -92014
1997 | UNITED ST3 | MFGR#1435 | 4605496
1997 | UNITED ST3 | MFGR#1436 | 7774077
1997 | UNITED ST3 | MFGR#1437 | 282000
1997 | UNITED ST3 | MFGR#1438 | 4781868
1997 | UNITED ST3 | MFGR#1439 | 14781723
1997 | UNITED ST3 | MFGR#144 | 12130338
1997 | UNITED ST3 | MFGR#1440 | 4446836
1997 | UNITED ST3 | MFGR#145 | 6247572
1997 | UNITED ST3 | MFGR#146 | 1148571
1997 | UNITED ST3 | MFGR#147 | 6882539
1997 | UNITED ST3 | MFGR#148 | 2490679
1997 | UNITED ST3 | MFGR#149 | -94899
1997 | UNITED ST4 | MFGR#141 | 5186738
1997 | UNITED ST4 | MFGR#1410 | 14420562
1997 | UNITED ST4 | MFGR#1411 | 5579309
1997 | UNITED ST4 | MFGR#1412 | 4669165
1997 | UNITED ST4 | MFGR#1413 | 1578022
1997 | UNITED ST4 | MFGR#1414 | 7997893
1997 | UNITED ST4 | MFGR#1415 | 6201882
1997 | UNITED ST4 | MFGR#1416 | 7899157
1997 | UNITED ST4 | MFGR#1417 | 7869476
1997 | UNITED ST4 | MFGR#1418 | 14353852
1997 | UNITED ST4 | MFGR#1419 | 24584174
1997 | UNITED ST4 | MFGR#142 | 1689818
1997 | UNITED ST4 | MFGR#1420 | 7794711
1997 | UNITED ST4 | MFGR#1421 | 8463252
1997 | UNITED ST4 | MFGR#1422 | 5689934
1997 | UNITED ST4 | MFGR#1423 | 10282588
1997 | UNITED ST4 | MFGR#1424 | 6547201
1997 | UNITED ST4 | MFGR#1425 | 8553287
1997 | UNITED ST4 | MFGR#1426 | 4968885
1997 | UNITED ST4 | MFGR#1427 | 6098333
1997 | UNITED ST4 | MFGR#1428 | 6422331
1997 | UNITED ST4 | MFGR#1429 | 28418193
1997 | UNITED ST4 | MFGR#143 | 6632741
1997 | UNITED ST4 | MFGR#1430 | 11509732
1997 | UNITED ST4 | MFGR#1431 | 737886
1997 | UNITED ST4 | MFGR#1432 | 10407956
1997 | UNITED ST4 | MFGR#1433 | 14999658
1997 | UNITED ST4 | MFGR#1434 | 6463858
1997 | UNITED ST4 | MFGR#1435 | 15179281
1997 | UNITED ST4 | MFGR#1436 | 9363859
1997 | UNITED ST4 | MFGR#1437 | 11878669
1997 | UNITED ST4 | MFGR#1438 | 5884955
1997 | UNITED ST4 | MFGR#1439 | 5446201
1997 | UNITED ST4 | MFGR#144 | 9488810
1997 | UNITED ST4 | MFGR#1440 | 7394235
1997 | UNITED ST4 | MFGR#145 | 18711810
1997 | UNITED ST4 | MFGR#146 | 14952260
1997 | UNITED ST4 | MFGR#147 | 5258725
1997 | UNITED ST4 | MFGR#148 | 9904335
1997 | UNITED ST4 | MFGR#149 | 9054089
1997 | UNITED ST5 | MFGR#141 | 22667913
1997 | UNITED ST5 | MFGR#1410 | 3783960
1997 | UNITED ST5 | MFGR#1411 | 6353923
1997 | UNITED ST5 | MFGR#1412 | 1809924
1997 | UNITED ST5 | MFGR#1414 | 18083989
1997 | UNITED ST5 | MFGR#1415 | 11700681
1997 | UNITED ST5 | MFGR#1416 | 4669818
1997 | UNITED ST5 | MFGR#1417 | 7729984
1997 | UNITED ST5 | MFGR#1418 | 36866
1997 | UNITED ST5 | MFGR#1419 | 12578966
1997 | UNITED ST5 | MFGR#142 | 19428597
1997 | UNITED ST5 | MFGR#1420 | 9190766
1997 | UNITED ST5 | MFGR#1421 | 11626277
1997 | UNITED ST5 | MFGR#1422 | 14646881
1997 | UNITED ST5 | MFGR#1423 | 6031099
1997 | UNITED ST5 | MFGR#1424 | 5819618
1997 | UNITED ST5 | MFGR#1425 | 14320377
1997 | UNITED ST5 | MFGR#1426 | 12021227
1997 | UNITED ST5 | MFGR#1427 | 3577991
1997 | UNITED ST5 | MFGR#1428 | 16269796
1997 | UNITED ST5 | MFGR#1429 | 2504132
1997 | UNITED ST5 | MFGR#143 | 10176490
1997 | UNITED ST5 | MFGR#1430 | 7816435
1997 | UNITED ST5 | MFGR#1431 | 6187714
1997 | UNITED ST5 | MFGR#1432 | 9881033
1997 | UNITED ST5 | MFGR#1433 | 26684724
1997 | UNITED ST5 | MFGR#1434 | 3667288
1997 | UNITED ST5 | MFGR#1435 | 5022241
1997 | UNITED ST5 | MFGR#1436 | 24876253
1997 | UNITED ST5 | MFGR#1437 | 11620363
1997 | UNITED ST5 | MFGR#1438 | 15988002
1997 | UNITED ST5 | MFGR#1439 | 9085251
1997 | UNITED ST5 | MFGR#144 | 6604141
1997 | UNITED ST5 | MFGR#1440 | 6440833
1997 | UNITED ST5 | MFGR#145 | 12624923
1997 | UNITED ST5 | MFGR#146 | 1574403
1997 | UNITED ST5 | MFGR#147 | 2379174
1997 | UNITED ST5 | MFGR#148 | 9177129
1997 | UNITED ST5 | MFGR#149 | 14572542
1997 | UNITED ST6 | MFGR#1411 | 12552542
1997 | UNITED ST6 | MFGR#1412 | 9797370
1997 | UNITED ST6 | MFGR#1413 | 6286419
1997 | UNITED ST6 | MFGR#1414 | 8167853
1997 | UNITED ST6 | MFGR#1415 | 41521
1997 | UNITED ST6 | MFGR#1417 | 6635727
1997 | UNITED ST6 | MFGR#1418 | 11330909
1997 | UNITED ST6 | MFGR#1419 | 8706800
1997 | UNITED ST6 | MFGR#142 | 8726556
1997 | UNITED ST6 | MFGR#1420 | 6712813
1997 | UNITED ST6 | MFGR#1421 | 10006590
1997 | UNITED ST6 | MFGR#1423 | 4967209
1997 | UNITED ST6 | MFGR#1424 | -106482
1997 | UNITED ST6 | MFGR#1425 | 10570533
1997 | UNITED ST6 | MFGR#1426 | 9420838
1997 | UNITED ST6 | MFGR#1427 | 13803431
1997 | UNITED ST6 | MFGR#1428 | 10592781
1997 | UNITED ST6 | MFGR#1429 | 1931536
1997 | UNITED ST6 | MFGR#143 | 1661229
1997 | UNITED ST6 | MFGR#1430 | 7644489
1997 | UNITED ST6 | MFGR#1431 | 6635861
1997 | UNITED ST6 | MFGR#1432 | 579640
1997 | UNITED ST6 | MFGR#1433 | 6626174
1997 | UNITED ST6 | MFGR#1434 | 5414948
1997 | UNITED ST6 | MFGR#1436 | 12250645
1997 | UNITED ST6 | MFGR#1437 | 1455098
1997 | UNITED ST6 | MFGR#1438 | 6512559
1997 | UNITED ST6 | MFGR#1439 | 8001880
1997 | UNITED ST6 | MFGR#144 | 9877042
1997 | UNITED ST6 | MFGR#1440 | 1018083
1997 | UNITED ST6 | MFGR#145 | 2645253
1997 | UNITED ST6 | MFGR#146 | 4153282
1997 | UNITED ST6 | MFGR#147 | 8477482
1997 | UNITED ST6 | MFGR#148 | 289960
1997 | UNITED ST6 | MFGR#149 | 6395017
1997 | UNITED ST7 | MFGR#141 | 5503375
1997 | UNITED ST7 | MFGR#1410 | 5571124
1997 | UNITED ST7 | MFGR#1411 | 3051780
1997 | UNITED ST7 | MFGR#1412 | 18941408
1997 | UNITED ST7 | MFGR#1413 | 19773752
1997 | UNITED ST7 | MFGR#1414 | 3794173
1997 | UNITED ST7 | MFGR#1415 | 11807346
1997 | UNITED ST7 | MFGR#1416 | 8754192
1997 | UNITED ST7 | MFGR#1417 | -76032
1997 | UNITED ST7 | MFGR#1418 | 1011546
1997 | UNITED ST7 | MFGR#1419 | 3195215
1997 | UNITED ST7 | MFGR#142 | 7422045
1997 | UNITED ST7 | MFGR#1420 | -95977
1997 | UNITED ST7 | MFGR#1421 | 4006516
1997 | UNITED ST7 | MFGR#1422 | 11023797
1997 | UNITED ST7 | MFGR#1423 | 8687511
1997 | UNITED ST7 | MFGR#1424 | 8241961
1997 | UNITED ST7 | MFGR#1425 | 16690807
1997 | UNITED ST7 | MFGR#1426 | 17860485
1997 | UNITED ST7 | MFGR#1427 | 11424570
1997 | UNITED ST7 | MFGR#1428 | 16096211
1997 | UNITED ST7 | MFGR#1429 | 3006292
1997 | UNITED ST7 | MFGR#143 | 1686763
1997 | UNITED ST7 | MFGR#1430 | 1957643
1997 | UNITED ST7 | MFGR#1431 | 12292195
1997 | UNITED ST7 | MFGR#1433 | 19396310
1997 | UNITED ST7 | MFGR#1434 | 11541980
1997 | UNITED ST7 | MFGR#1435 | 16790803
1997 | UNITED ST7 | MFGR#1436 | 10609348
1997 | UNITED ST7 | MFGR#1437 | 14550955
1997 | UNITED ST7 | MFGR#1438 | 1988779
1997 | UNITED ST7 | MFGR#1439 | 4295909
1997 | UNITED ST7 | MFGR#144 | 8983217
1997 | UNITED ST7 | MFGR#1440 | 3996916
1997 | UNITED ST7 | MFGR#145 | 3808617
1997 | UNITED ST7 | MFGR#146 | 5510969
1997 | UNITED ST7 | MFGR#147 | 10869058
1997 | UNITED ST7 | MFGR#148 | 4940835
1997 | UNITED ST8 | MFGR#141 | 7798886
1997 | UNITED ST8 | MFGR#1410 | 9903255
1997 | UNITED ST8 | MFGR#1411 | 8459607
1997 | UNITED ST8 | MFGR#1412 | 4747307
1997 | UNITED ST8 | MFGR#1413 | 11234623
1997 | UNITED ST8 | MFGR#1414 | 32516544
1997 | UNITED ST8 | MFGR#1415 | 26046288
1997 | UNITED ST8 | MFGR#1416 | 17136821
1997 | UNITED ST8 | MFGR#1417 | 10542609
1997 | UNITED ST8 | MFGR#1418 | 6505766
1997 | UNITED ST8 | MFGR#1419 | 5089698
1997 | UNITED ST8 | MFGR#142 | 12359660
1997 | UNITED ST8 | MFGR#1420 | 8704773
1997 | UNITED ST8 | MFGR#1421 | 7667793
1997 | UNITED ST8 | MFGR#1422 | 256603
1997 | UNITED ST8 | MFGR#1423 | 8724156
1997 | UNITED ST8 | MFGR#1424 | 4125766
1997 | UNITED ST8 | MFGR#1425 | 14534304
1997 | UNITED ST8 | MFGR#1426 | 5677729
1997 | UNITED ST8 | MFGR#1427 | 18129335
1997 | UNITED ST8 | MFGR#1428 | 9623199
1997 | UNITED ST8 | MFGR#1429 | 141119
1997 | UNITED ST8 | MFGR#143 | 17940947
1997 | UNITED ST8 | MFGR#1430 | 6349760
1997 | UNITED ST8 | MFGR#1431 | 377191
1997 | UNITED ST8 | MFGR#1432 | 13466507
1997 | UNITED ST8 | MFGR#1433 | 4299199
1997 | UNITED ST8 | MFGR#1434 | 16014481
1997 | UNITED ST8 | MFGR#1435 | 4285032
1997 | UNITED ST8 | MFGR#1437 | 5978231
1997 | UNITED ST8 | MFGR#1438 | 13722333
1997 | UNITED ST8 | MFGR#1439 | 8414105
1997 | UNITED ST8 | MFGR#144 | 13877140
1997 | UNITED ST8 | MFGR#1440 | 8535520
1997 | UNITED ST8 | MFGR#145 | 4224926
1997 | UNITED ST8 | MFGR#146 | 9826389
1997 | UNITED ST8 | MFGR#147 | 11662159
1997 | UNITED ST8 | MFGR#148 | 13580533
1997 | UNITED ST8 | MFGR#149 | 9209611
1997 | UNITED ST9 | MFGR#141 | 14887264
1997 | UNITED ST9 | MFGR#1410 | 8961037
1997 | UNITED ST9 | MFGR#1411 | 7017374
1997 | UNITED ST9 | MFGR#1413 | 21688356
1997 | UNITED ST9 | MFGR#1414 | 2264272
1997 | UNITED ST9 | MFGR#1415 | 1368211
1997 | UNITED ST9 | MFGR#1416 | 5240730
1997 | UNITED ST9 | MFGR#1417 | -214894
1997 | UNITED ST9 | MFGR#1418 | 4149082
1997 | UNITED ST9 | MFGR#1419 | 5130935
1997 | UNITED ST9 | MFGR#142 | 12327546
1997 | UNITED ST9 | MFGR#1420 | -83181
1997 | UNITED ST9 | MFGR#1421 | 6646407
1997 | UNITED ST9 | MFGR#1422 | 12107074
1997 | UNITED ST9 | MFGR#1423 | 10130969
1997 | UNITED ST9 | MFGR#1424 | 1723039
1997 | UNITED ST9 | MFGR#1425 | 11454211
1997 | UNITED ST9 | MFGR#1426 | 8686206
1997 | UNITED ST9 | MFGR#1427 | 9375073
1997 | UNITED ST9 | MFGR#1428 | 8793278
1997 | UNITED ST9 | MFGR#1429 | 12248397
1997 | UNITED ST9 | MFGR#1430 | 17758676
1997 | UNITED ST9 | MFGR#1431 | 2481851
1997 | UNITED ST9 | MFGR#1432 | 20501827
1997 | UNITED ST9 | MFGR#1433 | 19106348
1997 | UNITED ST9 | MFGR#1434 | 7298620
1997 | UNITED ST9 | MFGR#1435 | 19805484
1997 | UNITED ST9 | MFGR#1436 | 3687554
1997 | UNITED ST9 | MFGR#1437 | 3584538
1997 | UNITED ST9 | MFGR#1438 | 15155759
1997 | UNITED ST9 | MFGR#1439 | 228955
1997 | UNITED ST9 | MFGR#144 | 3194146
1997 | UNITED ST9 | MFGR#145 | 7909591
1997 | UNITED ST9 | MFGR#146 | 1257888
1997 | UNITED ST9 | MFGR#147 | 6346992
1997 | UNITED ST9 | MFGR#148 | 12041910
1997 | UNITED ST9 | MFGR#149 | 8756888
1998 | UNITED ST0 | MFGR#1410 | 2945741
1998 | UNITED ST0 | MFGR#1411 | 6151740
1998 | UNITED ST0 | MFGR#1412 | 7086899
1998 | UNITED ST0 | MFGR#1413 | 9196248
1998 | UNITED ST0 | MFGR#1414 | 4473354
1998 | UNITED ST0 | MFGR#1415 | 17205175
1998 | UNITED ST0 | MFGR#1418 | 10100639
1998 | UNITED ST0 | MFGR#1419 | 9020950
1998 | UNITED ST0 | MFGR#1420 | 11842138
1998 | UNITED ST0 | MFGR#1423 | -92974
1998 | UNITED ST0 | MFGR#1424 | 11406536
1998 | UNITED ST0 | MFGR#1426 | -90933
1998 | UNITED ST0 | MFGR#1427 | 1344465
1998 | UNITED ST0 | MFGR#1428 | 18090196
1998 | UNITED ST0 | MFGR#1429 | 2762923
1998 | UNITED ST0 | MFGR#143 | 9445137
1998 | UNITED ST0 | MFGR#1430 | 5631358
1998 | UNITED ST0 | MFGR#1431 | 1042951
1998 | UNITED ST0 | MFGR#1433 | 9060458
1998 | UNITED ST0 | MFGR#1435 | 3486605
1998 | UNITED ST0 | MFGR#1436 | 2781792
1998 | UNITED ST0 | MFGR#1437 | -118013
1998 | UNITED ST0 | MFGR#1438 | -105459
1998 | UNITED ST0 | MFGR#1439 | 1549737
1998 | UNITED ST0 | MFGR#144 | 7318704
1998 | UNITED ST0 | MFGR#1440 | 6624791
1998 | UNITED ST0 | MFGR#145 | 5291673
1998 | UNITED ST0 | MFGR#146 | 19569171
1998 | UNITED ST0 | MFGR#147 | 3942807
1998 | UNITED ST0 | MFGR#148 | 2497297
1998 | UNITED ST0 | MFGR#149 | 11578031
1998 | UNITED ST1 | MFGR#141 | -70509
1998 | UNITED ST1 | MFGR#1410 | 1753865
1998 | UNITED ST1 | MFGR#1411 | 9427546
1998 | UNITED ST1 | MFGR#1412 | 3423387
1998 | UNITED ST1 | MFGR#1413 | 1256157
1998 | UNITED ST1 | MFGR#1414 | 15327920
1998 | UNITED ST1 | MFGR#1415 | -175970
1998 | UNITED ST1 | MFGR#1416 | -78139
1998 | UNITED ST1 | MFGR#1417 | 36957
1998 | UNITED ST1 | MFGR#1418 | 8364290
1998 | UNITED ST1 | MFGR#1419 | 7043183
1998 | UNITED ST1 | MFGR#142 | 15181215
1998 | UNITED ST1 | MFGR#1420 | 1293808
1998 | UNITED ST1 | MFGR#1422 | 7016756
1998 | UNITED ST1 | MFGR#1423 | 20943337
1998 | UNITED ST1 | MFGR#1424 | 3852852
1998 | UNITED ST1 | MFGR#1425 | 3508712
1998 | UNITED ST1 | MFGR#1427 | 8575758
1998 | UNITED ST1 | MFGR#1429 | -73331
1998 | UNITED ST1 | MFGR#143 | 7287995
1998 | UNITED ST1 | MFGR#1430 | 14118580
1998 | UNITED ST1 | MFGR#1431 | -88101
1998 | UNITED ST1 | MFGR#1434 | 2379458
1998 | UNITED ST1 | MFGR#1435 | 3776871
1998 | UNITED ST1 | MFGR#1436 | -80477
1998 | UNITED ST1 | MFGR#1437 | 5731672
1998 | UNITED ST1 | MFGR#1438 | 3990134
1998 | UNITED ST1 | MFGR#1439 | 11835682
1998 | UNITED ST1 | MFGR#144 | 4528326
1998 | UNITED ST1 | MFGR#1440 | 15249180
1998 | UNITED ST1 | MFGR#146 | 8727002
1998 | UNITED ST1 | MFGR#147 | 17300692
1998 | UNITED ST1 | MFGR#149 | 1806034
1998 | UNITED ST2 | MFGR#1410 | 17934356
1998 | UNITED ST2 | MFGR#1411 | 3026220
1998 | UNITED ST2 | MFGR#1412 | 4286548
1998 | UNITED ST2 | MFGR#1413 | 4379751
1998 | UNITED ST2 | MFGR#1414 | 8202946
1998 | UNITED ST2 | MFGR#1415 | 9283280
1998 | UNITED ST2 | MFGR#1416 | 1464736
1998 | UNITED ST2 | MFGR#1417 | 5033316
1998 | UNITED ST2 | MFGR#1419 | -161137
1998 | UNITED ST2 | MFGR#142 | 8041317
1998 | UNITED ST2 | MFGR#1421 | 7078837
1998 | UNITED ST2 | MFGR#1422 | 3787806
1998 | UNITED ST2 | MFGR#1423 | 4991799
1998 | UNITED ST2 | MFGR#1424 | 4893549
1998 | UNITED ST2 | MFGR#1425 | -113692
1998 | UNITED ST2 | MFGR#1426 | 7586449
1998 | UNITED ST2 | MFGR#1427 | -110752
1998 | UNITED ST2 | MFGR#1428 | 10875017
1998 | UNITED ST2 | MFGR#1429 | 4262831
1998 | UNITED ST2 | MFGR#143 | 14270335
1998 | UNITED ST2 | MFGR#1430 | 2409574
1998 | UNITED ST2 | MFGR#1431 | 3238042
1998 | UNITED ST2 | MFGR#1432 | 13028073
1998 | UNITED ST2 | MFGR#1433 | 9398262
1998 | UNITED ST2 | MFGR#1434 | 4690958
1998 | UNITED ST2 | MFGR#1435 | 2400613
1998 | UNITED ST2 | MFGR#1436 | 4483937
1998 | UNITED ST2 | MFGR#1437 | 598700
1998 | UNITED ST2 | MFGR#1438 | 2560895
1998 | UNITED ST2 | MFGR#1439 | 4315897
1998 | UNITED ST2 | MFGR#144 | 5288428
1998 | UNITED ST2 | MFGR#1440 | 12271892
1998 | UNITED ST2 | MFGR#145 | 5940356
1998 | UNITED ST2 | MFGR#146 | 1925583
1998 | UNITED ST2 | MFGR#147 | 5960041
1998 | UNITED ST2 | MFGR#148 | 2617699
1998 | UNITED ST3 | MFGR#141 | 5944599
1998 | UNITED ST3 | MFGR#1410 | 3771203
1998 | UNITED ST3 | MFGR#1411 | 6316296
1998 | UNITED ST3 | MFGR#1412 | 3088857
1998 | UNITED ST3 | MFGR#1413 | 2896646
1998 | UNITED ST3 | MFGR#1414 | 7926690
1998 | UNITED ST3 | MFGR#1415 | 10961043
1998 | UNITED ST3 | MFGR#1416 | 4245522
1998 | UNITED ST3 | MFGR#1417 | -99273
1998 | UNITED ST3 | MFGR#1418 | 12553460
1998 | UNITED ST3 | MFGR#1419 | 5178808
1998 | UNITED ST3 | MFGR#1420 | 1454868
1998 | UNITED ST3 | MFGR#1421 | 12752314
1998 | UNITED ST3 | MFGR#1422 | 5317523
1998 | UNITED ST3 | MFGR#1424 | 10555846
1998 | UNITED ST3 | MFGR#1425 | 4960761
1998 | UNITED ST3 | MFGR#1428 | 4291596
1998 | UNITED ST3 | MFGR#1429 | 6968416
1998 | UNITED ST3 | MFGR#1430 | -86542
1998 | UNITED ST3 | MFGR#1431 | 4965343
1998 | UNITED ST3 | MFGR#1432 | 5679808
1998 | UNITED ST3 | MFGR#1433 | 661171
1998 | UNITED ST3 | MFGR#1434 | 6185539
1998 | UNITED ST3 | MFGR#1435 | 81803
1998 | UNITED ST3 | MFGR#1436 | 4251824
1998 | UNITED ST3 | MFGR#1438 | 12704484
1998 | UNITED ST3 | MFGR#1439 | 4139923
1998 | UNITED ST3 | MFGR#144 | -121019
1998 | UNITED ST3 | MFGR#146 | -64869
1998 | UNITED ST3 | MFGR#147 | 5997019
1998 | UNITED ST3 | MFGR#148 | 4068534
1998 | UNITED ST3 | MFGR#149 | 4746328
1998 | UNITED ST4 | MFGR#141 | -67443
1998 | UNITED ST4 | MFGR#1410 | 19194691
1998 | UNITED ST4 | MFGR#1411 | 6729417
1998 | UNITED ST4 | MFGR#1412 | -63721
1998 | UNITED ST4 | MFGR#1413 | 19393054
1998 | UNITED ST4 | MFGR#1414 | 4676141
1998 | UNITED ST4 | MFGR#1415 | 7625763
1998 | UNITED ST4 | MFGR#1417 | 1982294
1998 | UNITED ST4 | MFGR#1418 | -81144
1998 | UNITED ST4 | MFGR#142 | 8675947
1998 | UNITED ST4 | MFGR#1421 | 6171981
1998 | UNITED ST4 | MFGR#1422 | 3923435
