1997 | UNITED ST0 | MFGR#141 | -121495
1997 | UNITED ST1 | MFGR#1429 | 2081759
1997 | UNITED ST1 | MFGR#1430 | 899107
1997 | UNITED ST1 | MFGR#1431 | 5594743
1997 | UNITED ST1 | MFGR#1432 | 9597468
1997 | UNITED ST1 | MFGR#1433 | 10527202
1997 | UNITED ST1 | MFGR#1434 | 8602336
1997 | UNITED ST1 | MFGR#1435 | 8294100
1997 | UNITED ST1 | MFGR#1436 | 10552521
1997 | UNITED ST1 | MFGR#1438 | 1736913
1997 | UNITED ST1 | MFGR#144 | 1549631
1997 | UNITED ST1 | MFGR#1440 | 420291
1997 | UNITED ST1 | MFGR#145 | 3009688
1997 | UNITED ST1 | MFGR#146 | 4698003
1997 | UNITED ST1 | MFGR#147 | 4187729
1997 | UNITED ST1 | MFGR#148 | -82701
1997 | UNITED ST1 | MFGR#149 | 1637941
1997 | UNITED ST2 | MFGR#141 | 5436832
1997 | UNITED ST2 | MFGR#1410 | 6446412
1997 | UNITED ST2 | MFGR#1411 | 4568379
1997 | UNITED ST2 | MFGR#1412 | 9336212
1997 | UNITED ST2 | MFGR#1414 | 5779320
1997 | UNITED ST2 | MFGR#1415 | 10692201
1997 | UNITED ST2 | MFGR#1416 | 3119894
1997 | UNITED ST2 | MFGR#1417 | 6977327
1997 | UNITED ST2 | MFGR#142 | 2164789
1997 | UNITED ST2 | MFGR#1422 | 1553324
1997 | UNITED ST2 | MFGR#1424 | 2898720
1997 | UNITED ST2 | MFGR#1425 | 5527228
1997 | UNITED ST2 | MFGR#1426 | 8276142
1997 | UNITED ST2 | MFGR#1427 | 62015
1997 | UNITED ST2 | MFGR#1428 | 3213466
1997 | UNITED ST2 | MFGR#1429 | -99460
1997 | UNITED ST2 | MFGR#143 | 10722794
1997 | UNITED ST2 | MFGR#1430 | -103118
1997 | UNITED ST2 | MFGR#1431 | 12594926
1997 | UNITED ST2 | MFGR#1433 | 5205263
1997 | UNITED ST2 | MFGR#1434 | -72010
1997 | UNITED ST2 | MFGR#1435 | 6711784
1997 | UNITED ST2 | MFGR#1436 | 59874
1997 | UNITED ST2 | MFGR#1437 | 6830662
1997 | UNITED ST2 | MFGR#1439 | 12472461
1997 | UNITED ST2 | MFGR#144 | 6349117
1997 | UNITED ST2 | MFGR#1440 | 3656016
1997 | UNITED ST2 | MFGR#145 | 7675295
1997 | UNITED ST2 | MFGR#146 | 7074123
1997 | UNITED ST2 | MFGR#147 | 16965224
1997 | UNITED ST2 | MFGR#148 | 12195422
1997 | UNITED ST2 | MFGR#149 | 3549035
1997 | UNITED ST3 | MFGR#1410 | 5808632
1997 | UNITED ST3 | MFGR#1412 | 4970262
1997 | UNITED ST3 | MFGR#1413 | 1011403
1997 | UNITED ST3 | MFGR#1414 | 1894157
1997 | UNITED ST3 | MFGR#1415 | 21027753
1997 | UNITED ST3 | MFGR#1417 | 8855546
1997 | UNITED ST3 | MFGR#1418 | 3232376
1997 | UNITED ST3 | MFGR#1419 | 1097760
1997 | UNITED ST3 | MFGR#142 | 3810892
1997 | UNITED ST3 | MFGR#1420 | 1342045
1997 | UNITED ST3 | MFGR#1421 | 1053634
1997 | UNITED ST3 | MFGR#1422 | 2442853
1997 | UNITED ST3 | MFGR#1423 | 3342006
1997 | UNITED ST3 | MFGR#1424 | 753644
1997 | UNITED ST3 | MFGR#1426 | 9508689
1997 | UNITED ST3 | MFGR#1427 | -233330
1997 | UNITED ST3 | MFGR#1428 | 6274467
1997 | UNITED ST3 | MFGR#1429 | 6817123
1997 | UNITED ST3 | MFGR#143 | -146965
1997 | UNITED ST3 | MFGR#1430 | -151776
1997 | UNITED ST3 | MFGR#1431 | -96519
1997 | UNITED ST3 | MFGR#1432 | 5689379
1997 | UNITED ST3 | MFGR#1433 | 2623292
1997 | UNITED ST3 | MFGR#1436 | 6951932
1997 | UNITED ST3 | MFGR#1437 | 12118620
1997 | UNITED ST3 | MFGR#1438 | 230472
1997 | UNITED ST3 | MFGR#1439 | 4102613
1997 | UNITED ST3 | MFGR#1440 | 13915584
1997 | UNITED ST3 | MFGR#145 | 4266596
1997 | UNITED ST3 | MFGR#146 | 45944
1997 | UNITED ST3 | MFGR#147 | 10797022
1997 | UNITED ST3 | MFGR#148 | 10898862
1997 | UNITED ST3 | MFGR#149 | 5124604
1997 | UNITED ST4 | MFGR#141 | 9078594
1997 | UNITED ST4 | MFGR#1410 | 3195112
1997 | UNITED ST4 | MFGR#1411 | 4624253
1997 | UNITED ST4 | MFGR#1412 | 6277150
1997 | UNITED ST4 | MFGR#1413 | 10624793
1997 | UNITED ST4 | MFGR#1414 | 6466040
1997 | UNITED ST4 | MFGR#1415 | 1917127
1997 | UNITED ST4 | MFGR#1416 | 3895520
1997 | UNITED ST4 | MFGR#1417 | 7617148
1997 | UNITED ST4 | MFGR#1418 | 4019294
1997 | UNITED ST4 | MFGR#1419 | 8937442
1997 | UNITED ST4 | MFGR#142 | 1640242
1997 | UNITED ST4 | MFGR#1421 | 4080460
1997 | UNITED ST4 | MFGR#1422 | 3438080
1997 | UNITED ST4 | MFGR#1423 | 7813689
1997 | UNITED ST4 | MFGR#1424 | 6953868
1997 | UNITED ST4 | MFGR#1425 | 2844423
1997 | UNITED ST4 | MFGR#1427 | 2147696
1997 | UNITED ST4 | MFGR#1428 | 4834183
1997 | UNITED ST4 | MFGR#1429 | 6778374
1997 | UNITED ST4 | MFGR#143 | 13395672
1997 | UNITED ST4 | MFGR#1430 | 13980880
1997 | UNITED ST4 | MFGR#1432 | 5749624
1997 | UNITED ST4 | MFGR#1434 | -110874
1997 | UNITED ST4 | MFGR#1435 | 7440038
1997 | UNITED ST4 | MFGR#1436 | 6803894
1997 | UNITED ST4 | MFGR#1437 | -114051
1997 | UNITED ST4 | MFGR#1438 | 3801624
1997 | UNITED ST4 | MFGR#1439 | 3106406
1997 | UNITED ST4 | MFGR#144 | 419081
1997 | UNITED ST4 | MFGR#1440 | 4830796
1997 | UNITED ST4 | MFGR#147 | -89245
1997 | UNITED ST4 | MFGR#148 | 15145054
1997 | UNITED ST4 | MFGR#149 | 26603
1997 | UNITED ST5 | MFGR#141 | 5946076
1997 | UNITED ST5 | MFGR#1410 | 6934434
1997 | UNITED ST5 | MFGR#1411 | 5656080
1997 | UNITED ST5 | MFGR#1412 | 12054785
1997 | UNITED ST5 | MFGR#1413 | 9332274
1997 | UNITED ST5 | MFGR#1414 | 6238145
1997 | UNITED ST5 | MFGR#1415 | 6569886
1997 | UNITED ST5 | MFGR#1416 | 7461417
1997 | UNITED ST5 | MFGR#1417 | 6068908
1997 | UNITED ST5 | MFGR#1419 | 4642344
1997 | UNITED ST5 | MFGR#142 | 250175
1997 | UNITED ST5 | MFGR#1421 | 3519993
1997 | UNITED ST5 | MFGR#1422 | 8286902
1997 | UNITED ST5 | MFGR#1423 | 9447529
1997 | UNITED ST5 | MFGR#1424 | 10637770
1997 | UNITED ST5 | MFGR#1425 | 3249321
1997 | UNITED ST5 | MFGR#1427 | 2973988
1997 | UNITED ST5 | MFGR#1428 | 2364483
1997 | UNITED ST5 | MFGR#1429 | 6197373
1997 | UNITED ST5 | MFGR#143 | 40235
1997 | UNITED ST5 | MFGR#1431 | 3063406
1997 | UNITED ST5 | MFGR#1432 | 38708
1997 | UNITED ST5 | MFGR#1433 | 12936258
1997 | UNITED ST5 | MFGR#1434 | 12848872
1997 | UNITED ST5 | MFGR#1435 | 9289126
1997 | UNITED ST5 | MFGR#1436 | -105470
1997 | UNITED ST5 | MFGR#1437 | 2883175
1997 | UNITED ST5 | MFGR#1438 | 3546987
1997 | UNITED ST5 | MFGR#1439 | 10777686
1997 | UNITED ST5 | MFGR#144 | 7416930
1997 | UNITED ST5 | MFGR#1440 | 3246349
1997 | UNITED ST5 | MFGR#146 | 2109114
1997 | UNITED ST5 | MFGR#148 | 562614
1997 | UNITED ST5 | MFGR#149 | 11789849
1997 | UNITED ST6 | MFGR#141 | 8048775
1997 | UNITED ST6 | MFGR#1410 | 5096069
1997 | UNITED ST6 | MFGR#1412 | 2791437
1997 | UNITED ST6 | MFGR#1413 | -171045
1997 | UNITED ST6 | MFGR#1414 | 1787046
1997 | UNITED ST6 | MFGR#1415 | 8380199
1997 | UNITED ST6 | MFGR#1416 | 13246820
1997 | UNITED ST6 | MFGR#1417 | 6443897
1997 | UNITED ST6 | MFGR#1418 | 4565496
1997 | UNITED ST6 | MFGR#1419 | 6541373
1997 | UNITED ST6 | MFGR#142 | 1973015
1997 | UNITED ST6 | MFGR#1420 | 4989154
1997 | UNITED ST6 | MFGR#1421 | 11562688
1997 | UNITED ST6 | MFGR#1423 | 8174951
1997 | UNITED ST6 | MFGR#1424 | 14611630
1997 | UNITED ST6 | MFGR#1425 | 1672761
1997 | UNITED ST6 | MFGR#1426 | 3643227
1997 | UNITED ST6 | MFGR#1428 | 8552241
1997 | UNITED ST6 | MFGR#1429 | 6673323
1997 | UNITED ST6 | MFGR#143 | 1455698
1997 | UNITED ST6 | MFGR#1430 | 17235352
1997 | UNITED ST6 | MFGR#1431 | 4344499
1997 | UNITED ST6 | MFGR#1432 | 14931166
1997 | UNITED ST6 | MFGR#1433 | 9875672
1997 | UNITED ST6 | MFGR#1434 | 4032853
1997 | UNITED ST6 | MFGR#1436 | 11622946
1997 | UNITED ST6 | MFGR#1437 | 9831020
1997 | UNITED ST6 | MFGR#1438 | 739492
1997 | UNITED ST6 | MFGR#1439 | 9777333
1997 | UNITED ST6 | MFGR#144 | 13008925
1997 | UNITED ST6 | MFGR#1440 | 7407994
1997 | UNITED ST6 | MFGR#146 | 4011639
1997 | UNITED ST6 | MFGR#147 | 4974741
1997 | UNITED ST6 | MFGR#148 | 4616999
1997 | UNITED ST6 | MFGR#149 | 5273513
1997 | UNITED ST7 | MFGR#141 | 7494202
1997 | UNITED ST7 | MFGR#1411 | 8933637
1997 | UNITED ST7 | MFGR#1412 | 5213594
1997 | UNITED ST7 | MFGR#1413 | 3729644
1997 | UNITED ST7 | MFGR#1414 | 6486957
1997 | UNITED ST7 | MFGR#1415 | 10265465
1997 | UNITED ST7 | MFGR#1416 | 6119363
1997 | UNITED ST7 | MFGR#1417 | 2677578
1997 | UNITED ST7 | MFGR#1418 | 6982605
1997 | UNITED ST7 | MFGR#1419 | 3131825
1997 | UNITED ST7 | MFGR#142 | 10989271
1997 | UNITED ST7 | MFGR#1420 | 2007277
1997 | UNITED ST7 | MFGR#1421 | 1747529
1997 | UNITED ST7 | MFGR#1422 | 4803439
1997 | UNITED ST7 | MFGR#1423 | -91236
1997 | UNITED ST7 | MFGR#1424 | 7235037
1997 | UNITED ST7 | MFGR#1427 | -117654
1997 | UNITED ST7 | MFGR#1428 | 11889449
1997 | UNITED ST7 | MFGR#1429 | 2985831
1997 | UNITED ST7 | MFGR#1431 | -103008
1997 | UNITED ST7 | MFGR#1432 | 3442492
1997 | UNITED ST7 | MFGR#1433 | -208828
1997 | UNITED ST7 | MFGR#1434 | 9072348
1997 | UNITED ST7 | MFGR#1435 | 2621580
1997 | UNITED ST7 | MFGR#1436 | 6107303
1997 | UNITED ST7 | MFGR#1438 | 4956797
1997 | UNITED ST7 | MFGR#1439 | -110147
1997 | UNITED ST7 | MFGR#1440 | 2943788
1997 | UNITED ST7 | MFGR#145 | 6843847
1997 | UNITED ST7 | MFGR#146 | 7852388
1997 | UNITED ST7 | MFGR#147 | 5749603
1997 | UNITED ST7 | MFGR#148 | 13087890
1997 | UNITED ST7 | MFGR#149 | 2269265
1997 | UNITED ST8 | MFGR#141 | 793911
1997 | UNITED ST8 | MFGR#1413 | 17198328
1997 | UNITED ST8 | MFGR#1414 | 6911647
1997 | UNITED ST8 | MFGR#1415 | 2031394
1997 | UNITED ST8 | MFGR#1416 | 7712611
1997 | UNITED ST8 | MFGR#1417 | 9796948
1997 | UNITED ST8 | MFGR#1418 | -83307
1997 | UNITED ST8 | MFGR#1419 | 3637831
1997 | UNITED ST8 | MFGR#142 | 435434
1997 | UNITED ST8 | MFGR#1420 | 12848976
1997 | UNITED ST8 | MFGR#1421 | 10289541
1997 | UNITED ST8 | MFGR#1425 | 9785758
1997 | UNITED ST8 | MFGR#1426 | 3761384
1997 | UNITED ST8 | MFGR#1427 | 2965196
1997 | UNITED ST8 | MFGR#1429 | 11759025
1997 | UNITED ST8 | MFGR#143 | 3705202
1997 | UNITED ST8 | MFGR#1430 | -91356
1997 | UNITED ST8 | MFGR#1431 | 490540
1997 | UNITED ST8 | MFGR#1433 | 1921475
1997 | UNITED ST8 | MFGR#1435 | 11420556
1997 | UNITED ST8 | MFGR#1436 | -90448
1997 | UNITED ST8 | MFGR#1437 | 6679511
1997 | UNITED ST8 | MFGR#1438 | 5140093
1997 | UNITED ST8 | MFGR#145 | 6564121
1997 | UNITED ST8 | MFGR#146 | 1530225
1997 | UNITED ST8 | MFGR#148 | 16689863
1997 | UNITED ST9 | MFGR#1411 | 4524017
1997 | UNITED ST9 | MFGR#1412 | 1323249
1997 | UNITED ST9 | MFGR#1413 | 5100155
1997 | UNITED ST9 | MFGR#1414 | 5145951
1997 | UNITED ST9 | MFGR#1415 | -95376
1997 | UNITED ST9 | MFGR#1417 | -89131
1997 | UNITED ST9 | MFGR#1418 | 2718303
1997 | UNITED ST9 | MFGR#142 | 8929925
1997 | UNITED ST9 | MFGR#1420 | 211832
1997 | UNITED ST9 | MFGR#1421 | 4386779
1997 | UNITED ST9 | MFGR#1425 | 10430054
1997 | UNITED ST9 | MFGR#1426 | 2389852
1997 | UNITED ST9 | MFGR#1427 | 5488564
1997 | UNITED ST9 | MFGR#1428 | 868871
1997 | UNITED ST9 | MFGR#1429 | -101625
1997 | UNITED ST9 | MFGR#1430 | -83901
1997 | UNITED ST9 | MFGR#1431 | 12611330
1997 | UNITED ST9 | MFGR#1433 | 1451240
1997 | UNITED ST9 | MFGR#1436 | 3015813
1997 | UNITED ST9 | MFGR#1437 | 3959671
1997 | UNITED ST9 | MFGR#1438 | 2440119
1997 | UNITED ST9 | MFGR#144 | -78194
1997 | UNITED ST9 | MFGR#145 | 331794
1997 | UNITED ST9 | MFGR#146 | 886972
1997 | UNITED ST9 | MFGR#147 | 7388708
1997 | UNITED ST9 | MFGR#148 | 696784
1997 | UNITED ST9 | MFGR#149 | 6368086
1998 | UNITED ST0 | MFGR#1411 | 19166714
1998 | UNITED ST0 | MFGR#1412 | 11863194
1998 | UNITED ST0 | MFGR#1414 | 4731903
1998 | UNITED ST0 | MFGR#1417 | -69724
1998 | UNITED ST0 | MFGR#1418 | -92188
1998 | UNITED ST0 | MFGR#1421 | 3540213
1998 | UNITED ST0 | MFGR#1424 | 2859818
1998 | UNITED ST0 | MFGR#1429 | 422789
1998 | UNITED ST0 | MFGR#1434 | 3408526
1998 | UNITED ST0 | MFGR#1435 | 2731212
1998 | UNITED ST0 | MFGR#1436 | 7319669
1998 | UNITED ST0 | MFGR#1439 | 3242640
1998 | UNITED ST0 | MFGR#1440 | 1136311
1998 | UNITED ST0 | MFGR#145 | 6744970
1998 | UNITED ST0 | MFGR#147 | 1897138
1998 | UNITED ST1 | MFGR#1411 | 3119612
1998 | UNITED ST1 | MFGR#1414 | 6956473
1998 | UNITED ST1 | MFGR#1415 | 7612595
1998 | UNITED ST1 | MFGR#1418 | -183730
1998 | UNITED ST1 | MFGR#1419 | -111471
1998 | UNITED ST1 | MFGR#142 | 841996
1998 | UNITED ST1 | MFGR#1420 | 3245292
1998 | UNITED ST1 | MFGR#1421 | 2806594
1998 | UNITED ST1 | MFGR#1422 | -102937
1998 | UNITED ST1 | MFGR#1427 | 6026777
1998 | UNITED ST1 | MFGR#1429 | 4662829
1998 | UNITED ST1 | MFGR#143 | 8192590
1998 | UNITED ST1 | MFGR#1431 | 8008779
1998 | UNITED ST1 | MFGR#1432 | -99940
1998 | UNITED ST1 | MFGR#1435 | 5842163
1998 | UNITED ST1 | MFGR#1436 | 5267895
1998 | UNITED ST1 | MFGR#144 | 3248366
1998 | UNITED ST1 | MFGR#1440 | 2135612
1998 | UNITED ST1 | MFGR#145 | 5187116
1998 | UNITED ST1 | MFGR#146 | 9542746
1998 | UNITED ST1 | MFGR#147 | 2323156
1998 | UNITED ST1 | MFGR#148 | 561816
1998 | UNITED ST2 | MFGR#141 | 6200149
1998 | UNITED ST2 | MFGR#1411 | 4335181
1998 | UNITED ST2 | MFGR#1412 | 1855460
1998 | UNITED ST2 | MFGR#1414 | 122227
1998 | UNITED ST2 | MFGR#1415 | -116819
1998 | UNITED ST2 | MFGR#1416 | 9092754
1998 | UNITED ST2 | MFGR#1419 | 14693815
1998 | UNITED ST2 | MFGR#142 | 2823712
1998 | UNITED ST2 | MFGR#1420 | 4243200
1998 | UNITED ST2 | MFGR#1422 | 2568062
1998 | UNITED ST2 | MFGR#1423 | -89485
1998 | UNITED ST2 | MFGR#1425 | 2621237
1998 | UNITED ST2 | MFGR#1428 | 4257851
1998 | UNITED ST2 | MFGR#143 | 6658152
1998 | UNITED ST2 | MFGR#1430 | 8306574
1998 | UNITED ST2 | MFGR#1432 | 4832442
1998 | UNITED ST2 | MFGR#1435 | 2151357
1998 | UNITED ST2 | MFGR#1439 | 7662528
1998 | UNITED ST2 | MFGR#145 | -66003
1998 | UNITED ST2 | MFGR#146 | 6145493
1998 | UNITED ST3 | MFGR#141 | 3171065
1998 | UNITED ST3 | MFGR#1410 | 11668958
1998 | UNITED ST3 | MFGR#1413 | 7179602
1998 | UNITED ST3 | MFGR#1415 | 2182518
1998 | UNITED ST3 | MFGR#1417 | 518692
1998 | UNITED ST3 | MFGR#1418 | 12042803
1998 | UNITED ST3 | MFGR#142 | -81555
1998 | UNITED ST3 | MFGR#1420 | -61921
1998 | UNITED ST3 | MFGR#1423 | 4973293
1998 | UNITED ST3 | MFGR#1424 | 6584374
1998 | UNITED ST3 | MFGR#1427 | 3861713
1998 | UNITED ST3 | MFGR#1429 | -89492
1998 | UNITED ST3 | MFGR#143 | -114598
1998 | UNITED ST3 | MFGR#1432 | 4954257
1998 | UNITED ST3 | MFGR#1434 | 6507783
1998 | UNITED ST3 | MFGR#1435 | 3623238
1998 | UNITED ST3 | MFGR#1437 | 3269384
1998 | UNITED ST3 | MFGR#1438 | 5701751
1998 | UNITED ST3 | MFGR#147 | 8611538
1998 | UNITED ST3 | MFGR#149 | 3404832
1998 | UNITED ST4 | MFGR#141 | 11912567
1998 | UNITED ST4 | MFGR#1410 | 5521308
1998 | UNITED ST4 | MFGR#1411 | 3126691
1998 | UNITED ST4 | MFGR#1412 | 4231551
1998 | UNITED ST4 | MFGR#1414 | 4563779
1998 | UNITED ST4 | MFGR#1416 | 4781395
1998 | UNITED ST4 | MFGR#1418 | 7054248
1998 | UNITED ST4 | MFGR#1419 | 43513
1998 | UNITED ST4 | MFGR#142 | 10784780
1998 | UNITED ST4 | MFGR#1421 | 7236826
1998 | UNITED ST4 | MFGR#1422 | 1379564
1998 | UNITED ST4 | MFGR#1423 | 7378768
1998 | UNITED ST4 | MFGR#1424 | 11950303
1998 | UNITED ST4 | MFGR#1425 | 6901342
1998 | UNITED ST4 | MFGR#1428 | 6755149
1998 | UNITED ST4 | MFGR#1429 | 12491211
1998 | UNITED ST4 | MFGR#1430 | 6616048
1998 | UNITED ST4 | MFGR#1431 | 3138935
1998 | UNITED ST4 | MFGR#1432 | 2984884
1998 | UNITED ST4 | MFGR#1434 | 4270789
1998 | UNITED ST4 | MFGR#1437 | 3885031
1998 | UNITED ST4 | MFGR#1439 | 3261019
1998 | UNITED ST4 | MFGR#144 | 2001970
1998 | UNITED ST4 | MFGR#145 | 55284
1998 | UNITED ST4 | MFGR#148 | 8489770
1998 | UNITED ST4 | MFGR#149 | 588944
1998 | UNITED ST5 | MFGR#1413 | 1885118
1998 | UNITED ST5 | MFGR#1414 | 1524916
1998 | UNITED ST5 | MFGR#1416 | 11364266
1998 | UNITED ST5 | MFGR#1417 | 13421444
1998 | UNITED ST5 | MFGR#1418 | 465209
1998 | UNITED ST5 | MFGR#1420 | 736926
1998 | UNITED ST5 | MFGR#1421 | 571698
1998 | UNITED ST5 | MFGR#1422 | 3382129
1998 | UNITED ST5 | MFGR#1427 | 4614916
1998 | UNITED ST5 | MFGR#143 | 1742317
1998 | UNITED ST5 | MFGR#1430 | 2757060
1998 | UNITED ST5 | MFGR#1434 | 5418294
1998 | UNITED ST5 | MFGR#1435 | 32149
1998 | UNITED ST5 | MFGR#1437 | 3765373
1998 | UNITED ST5 | MFGR#1438 | 7160755
1998 | UNITED ST5 | MFGR#144 | -112971
1998 | UNITED ST5 | MFGR#1440 | 3640498
1998 | UNITED ST5 | MFGR#145 | 15857765
1998 | UNITED ST5 | MFGR#146 | 1110571
1998 | UNITED ST5 | MFGR#148 | 4177761
1998 | UNITED ST6 | MFGR#141 | 62633
1998 | UNITED ST6 | MFGR#1410 | 6259361
1998 | UNITED ST6 | MFGR#1412 | 10678581
1998 | UNITED ST6 | MFGR#1413 | 7434186
1998 | UNITED ST6 | MFGR#1414 | 15654151
1998 | UNITED ST6 | MFGR#1415 | 4240251
1998 | UNITED ST6 | MFGR#1417 | -63960
1998 | UNITED ST6 | MFGR#1418 | 1818802
1998 | UNITED ST6 | MFGR#142 | 4106200
1998 | UNITED ST6 | MFGR#1420 | 3292208
1998 | UNITED ST6 | MFGR#1424 | 3616178
1998 | UNITED ST6 | MFGR#1425 | 4834690
1998 | UNITED ST6 | MFGR#1426 | 2626258
1998 | UNITED ST6 | MFGR#1427 | 5262017
1998 | UNITED ST6 | MFGR#1428 | 6465886
1998 | UNITED ST6 | MFGR#1429 | -79281
1998 | UNITED ST6 | MFGR#143 | 4036972
1998 | UNITED ST6 | MFGR#1430 | 3797091
1998 | UNITED ST6 | MFGR#1434 | 2142169
1998 | UNITED ST6 | MFGR#1435 | 7017191
1998 | UNITED ST6 | MFGR#1436 | 5467954
1998 | UNITED ST6 | MFGR#1439 | 1988302
1998 | UNITED ST6 | MFGR#1440 | 8655296
1998 | UNITED ST6 | MFGR#145 | -121498
1998 | UNITED ST6 | MFGR#146 | 9276732
1998 | UNITED ST6 | MFGR#148 | 4130465
1998 | UNITED ST7 | MFGR#141 | -116575
1998 | UNITED ST7 | MFGR#1414 | 4304350
1998 | UNITED ST7 | MFGR#1415 | 1445501
1998 | UNITED ST7 | MFGR#1416 | -69663
1998 | UNITED ST7 | MFGR#1418 | -74169
1998 | UNITED ST7 | MFGR#1419 | 7933803
1998 | UNITED ST7 | MFGR#1421 | 3267830
1998 | UNITED ST7 | MFGR#1422 | 8051741
1998 | UNITED ST7 | MFGR#1423 | 2190484
1998 | UNITED ST7 | MFGR#1424 | 2691434
1998 | UNITED ST7 | MFGR#1428 | -83421
1998 | UNITED ST7 | MFGR#1429 | 257602
1998 | UNITED ST7 | MFGR#1431 | 818535
1998 | UNITED ST7 | MFGR#1432 | 2025709
1998 | UNITED ST7 | MFGR#1433 | 3548558
1998 | UNITED ST7 | MFGR#1434 | 1145845
1998 | UNITED ST7 | MFGR#1435 | 11761338
1998 | UNITED ST7 | MFGR#1436 | 6428968
1998 | UNITED ST7 | MFGR#1437 | -60960
1998 | UNITED ST7 | MFGR#1439 | 5222547
1998 | UNITED ST7 | MFGR#144 | 8917521
1998 | UNITED ST7 | MFGR#145 | 7041138
1998 | UNITED ST7 | MFGR#148 | 5179262
1998 | UNITED ST8 | MFGR#141 | 1920072
1998 | UNITED ST8 | MFGR#1411 | 7508230
1998 | UNITED ST8 | MFGR#1413 | 4600559
1998 | UNITED ST8 | MFGR#1414 | 2243226
1998 | UNITED ST8 | MFGR#1415 | 3436370
1998 | UNITED ST8 | MFGR#1417 | -93272
1998 | UNITED ST8 | MFGR#1418 | -81742
1998 | UNITED ST8 | MFGR#1420 | 4389179
1998 | UNITED ST8 | MFGR#1423 | 6129435
1998 | UNITED ST8 | MFGR#1426 | 7429684
1998 | UNITED ST8 | MFGR#1429 | 3099593
1998 | UNITED ST8 | MFGR#1431 | 9386235
1998 | UNITED ST8 | MFGR#1433 | 2607522
1998 | UNITED ST8 | MFGR#1435 | 817925
1998 | UNITED ST8 | MFGR#1437 | 2524069
1998 | UNITED ST8 | MFGR#1438 | 4075167
1998 | UNITED ST8 | MFGR#1440 | 4430781
1998 | UNITED ST8 | MFGR#148 | 3779550
1998 | UNITED ST9 | MFGR#1411 | 12599453
1998 | UNITED ST9 | MFGR#1412 | -116692
1998 | UNITED ST9 | MFGR#1413 | 8415350
1998 | UNITED ST9 | MFGR#1415 | 6237223
1998 | UNITED ST9 | MFGR#1419 | 7636525
1998 | UNITED ST9 | MFGR#142 | 3451059
1998 | UNITED ST9 | MFGR#1423 | 7097121
1998 | UNITED ST9 | MFGR#1424 | 7055980
1998 | UNITED ST9 | MFGR#1425 | 632012
1998 | UNITED ST9 | MFGR#1426 | 2343357
1998 | UNITED ST9 | MFGR#143 | 2606278
1998 | UNITED ST9 | MFGR#1431 | 4105746
1998 | UNITED ST9 | MFGR#1433 | 6613928
1998 | UNITED ST9 | MFGR#1434 | 5520646
1998 | UNITED ST9 | MFGR#1436 | 3466597
1998 | UNITED ST9 | MFGR#1437 | -78264
1998 | UNITED ST9 | MFGR#1438 | 12205731
1998 | UNITED ST9 | MFGR#1440 | 17638380
1998 | UNITED ST9 | MFGR#145 | -68343
1998 | UNITED ST9 | MFGR#147 | 607526
