    c_nation     |    s_nation     | d_year |  revenue
 INDIA          |VIETNAM        |1996|15977849123
 JAPAN          |VIETNAM        |1996|15882476152
 JAPAN          |JAPAN          |1996|15513986408
 INDONESIA      |CHINA          |1997|18600499869
 INDONESIA      |INDIA          |1997|18375455830
 CHINA          |CHINA          |1997|18362347254
 VIETNAM        |CHINA          |1997|18157628349
 CHINA          |INDIA          |1997|17836588707
 INDIA          |CHINA          |1997|17741915441
 INDIA          |INDIA          |1997|17694376765
 VIETNAM        |INDONESIA      |1997|17425609478
 VIETNAM        |INDIA          |1997|17396647684
 CHINA          |INDONESIA      |1997|17387001699
 JAPAN          |CHINA          |1997|17357077672
 INDONESIA      |INDONESIA      |1997|17281353264
 JAPAN          |INDIA          |1997|17049904638
 INDIA          |INDONESIA      |1997|16842499721
 INDONESIA      |JAPAN          |1997|16563969530
 CHINA          |JAPAN          |1997|16546937120
 JAPAN          |INDONESIA      |1997|16293065909
 INDONESIA      |VIETNAM        |1997|16144629653
 CHINA          |VIETNAM        |1997|16078997235
 VIETNAM        |JAPAN          |1997|16057266419
 JAPAN          |JAPAN          |1997|16053809912
 INDIA          |VIETNAM        |1997|15910904337
 VIETNAM        |VIETNAM        |1997|15857635217
 INDIA          |JAPAN          |1997|15811620653
 JAPAN          |VIETNAM        |1997|15702849239
